game_version,data_channel,captured_at,id,name,name_en,color,type,rarity,cost,rank,expert_summary,good_when,bad_when,source_timestamp,source_name,source_type,prior_score,confidence,codex_score,picks,win_rate,expert_score,expert_evidence,mechanic_tags,expert_sources
v0.107.1,stable,2026-09-07T12:01:05.113Z,HUDDLE_UP,抱团,Huddle Up,colorless,技能,罕见,1,S,同版本社区数据给出的基础档位为 S。主要价值是抽 2 张牌。,牌组需要加速循环、寻找核心牌时|已有消耗触发收益或需要战中压缩牌组时,长战需要重复使用它且没有回收手段时|抽牌已经充足但能量无法支持额外手牌时,,Spire Codex community data,community-data+synthesis,100,medium,100,6893,55.2,,0,draw|exhaust,
v0.107.1,stable,2026-09-07T12:01:05.113Z,JACKPOT,大奖,Jackpot,colorless,攻击,稀有,3,S,同版本社区数据给出的基础档位为 S。主要价值是25 点总伤害、抽 3 张牌；费用较高，必须确认当前能量和启动速度能够承受。,第一章或当前牌组缺少前置伤害时|牌组需要加速循环、寻找核心牌时,基础能量不足且没有减费、回能或保留支持时|抽牌已经充足但能量无法支持额外手牌时,,Spire Codex community data,community-data+synthesis,100,medium,100,6765,53.5,,0,damage|draw,
v0.107.1,stable,2026-09-07T12:01:05.113Z,DISCOVERY,发现,Discovery,colorless,技能,罕见,1,A,同版本社区数据给出的基础档位为 A。效果重点是“从3张随机牌中选择1张加入你的[gold]手牌[/gold]。这张牌在本回合可以免费打出。”。,已有消耗触发收益或需要战中压缩牌组时,长战需要重复使用它且没有回收手段时,,Spire Codex community data,community-data+synthesis,82,medium,82,10485,46.3,,0,exhaust,
v0.107.1,stable,2026-09-07T12:01:05.113Z,SPLASH,飞溅,Splash,colorless,技能,罕见,1,A,同版本社区数据给出的基础档位为 A。效果重点是“从3张其他角色的攻击牌中选择1张加入你的[gold]手牌[/gold]。这张牌在本回合免费打出。”。,当前牌组确实缺少这张技能提供的功能时,它不能改善当前牌组缺口，拿取只会降低核心牌抽取频率时,,Spire Codex community data,community-data+synthesis,85,medium,85,9268,47.2,,0,,
v0.107.1,stable,2026-09-07T12:01:05.113Z,PROWESS,非凡技艺,Prowess,colorless,能力,罕见,1,B,同版本社区数据给出的基础档位为 B。主要价值是提供长线成长；打出当回合缺少直接攻防，短战需要权衡启动损失。,即将面对精英、Boss 或其他长战时,当前更需要立即解决走廊战而不是长线成长时|短战压力高、打出当回合必须立刻攻防时,,Spire Codex community data,community-data+synthesis,77,medium,77,10647,44.7,,0,scaling|strength,
v0.107.1,stable,2026-09-07T12:01:05.113Z,THE_GAMBIT,孤注一掷,The Gambit,colorless,技能,稀有,0,S,同版本社区数据给出的基础档位为 S。主要价值是50 点格挡；需要支付生命代价，收益必须覆盖由此增加的生存风险。,已有自伤触发收益，并且当前生命足以支付代价时|牌组防御密度不足或需要处理爆发回合时|需要低成本提升当回合行动密度时,当前生命已接近精英或 Boss 的斩杀线时|牌组无法稳定满足其触发条件时,,Spire Codex community data,community-data+synthesis,100,medium,100,1842,57.6,,0,block|self_damage|conditional,
v0.107.1,stable,2026-09-07T12:01:05.113Z,ROLLING_BOULDER,滚石,Rolling Boulder,colorless,能力,稀有,3,S,同版本社区数据给出的基础档位为 S。主要价值是覆盖多目标；费用较高，必须确认当前能量和启动速度能够承受。,即将面对多目标战斗或召唤型敌人时,基础能量不足且没有减费、回能或保留支持时|短战压力高、打出当回合必须立刻攻防时,,Spire Codex community data,community-data+synthesis,94,medium,94,6173,49.9,,0,aoe,
v0.107.1,stable,2026-09-07T12:01:05.113Z,DARK_SHACKLES,黑暗镣铐,Dark Shackles,colorless,技能,罕见,0,S,同版本社区数据给出的基础档位为 S。主要价值是提供长线成长。,即将面对精英、Boss 或其他长战时|已有消耗触发收益或需要战中压缩牌组时|需要低成本提升当回合行动密度时,当前更需要立即解决走廊战而不是长线成长时|长战需要重复使用它且没有回收手段时,,Spire Codex community data,community-data+synthesis,100,medium,100,11094,52.3,,0,scaling|exhaust|strength,
v0.107.1,stable,2026-09-07T12:01:05.113Z,BEAT_DOWN,狠揍,Beat Down,colorless,技能,稀有,3,S,同版本社区数据给出的基础档位为 S。主要价值是抽 3 张牌；费用较高，必须确认当前能量和启动速度能够承受。,牌组需要加速循环、寻找核心牌时,基础能量不足且没有减费、回能或保留支持时|抽牌已经充足但能量无法支持额外手牌时,,Spire Codex community data,community-data+synthesis,100,medium,100,2349,57.3,,0,draw,
v0.107.1,stable,2026-09-07T12:01:05.113Z,CATASTROPHE,横祸,Catastrophe,colorless,技能,罕见,2,A,同版本社区数据给出的基础档位为 A。主要价值是抽 2 张牌。,牌组需要加速循环、寻找核心牌时,抽牌已经充足但能量无法支持额外手牌时,,Spire Codex community data,community-data+synthesis,88,medium,88,4508,48.2,,0,draw,
v0.107.1,stable,2026-09-07T12:01:05.113Z,JACK_OF_ALL_TRADES,花样百出,Jack of All Trades,colorless,技能,罕见,0,S,同版本社区数据给出的基础档位为 S。主要价值是抽 1 张牌。,牌组需要加速循环、寻找核心牌时|已有消耗触发收益或需要战中压缩牌组时|需要低成本提升当回合行动密度时,长战需要重复使用它且没有回收手段时,,Spire Codex community data,community-data+synthesis,92,medium,92,5963,49.4,,0,draw|exhaust,
v0.107.1,stable,2026-09-07T12:01:05.113Z,NOSTALGIA,怀旧,Nostalgia,colorless,能力,稀有,1,S,同版本社区数据给出的基础档位为 S。效果重点是“每回合首次打出攻击或技能牌时，将其置于你的[gold]抽牌堆[/gold]顶端。”；打出当回合缺少直接攻防，短战需要权衡启动损失。,当前牌组确实缺少这张能力提供的功能时,短战压力高、打出当回合必须立刻攻防时,,Spire Codex community data,community-data+synthesis,100,medium,100,4201,55.9,,0,draw,
v0.107.1,stable,2026-09-07T12:01:05.113Z,KNOCKDOWN,击倒,Knockdown,colorless,攻击,稀有,3,S,同版本社区数据给出的基础档位为 S。主要价值是10 点总伤害；需要支付生命代价，收益必须覆盖由此增加的生存风险。,已有自伤触发收益，并且当前生命足以支付代价时|第一章或当前牌组缺少前置伤害时,当前生命已接近精英或 Boss 的斩杀线时|基础能量不足且没有减费、回能或保留支持时,,Spire Codex community data,community-data+synthesis,100,medium,100,3915,67.4,,0,damage|self_damage,
v0.107.1,stable,2026-09-07T12:01:05.113Z,IMPATIENCE,急躁,Impatience,colorless,技能,罕见,0,S,同版本社区数据给出的基础档位为 S。主要价值是抽 2 张牌；收益依赖触发条件，条件不成立时容易成为低效抽牌。,牌组需要加速循环、寻找核心牌时|需要低成本提升当回合行动密度时,牌组无法稳定满足其触发条件时,,Spire Codex community data,community-data+synthesis,100,medium,100,3961,52.3,,0,draw|conditional,
v0.107.1,stable,2026-09-07T12:01:05.113Z,RALLY,集结,Rally,colorless,技能,稀有,2,S,同版本社区数据给出的基础档位为 S。主要价值是12 点格挡。,牌组防御密度不足或需要处理爆发回合时,它不能改善当前牌组缺口，拿取只会降低核心牌抽取频率时,,Spire Codex community data,community-data+synthesis,100,medium,100,5250,63.4,,0,block,
v0.107.1,stable,2026-09-07T12:01:05.113Z,STRATAGEM,计策,Stratagem,colorless,能力,罕见,1,S,同版本社区数据给出的基础档位为 S。效果重点是“每当你的[gold]抽牌堆[/gold]打乱洗牌时，选择一张牌放入你的[gold]手牌[/gold]。”；收益依赖触发条件，条件不成立时容易成为低效抽牌。,当前牌组确实缺少这张能力提供的功能时,牌组无法稳定满足其触发条件时|短战压力高、打出当回合必须立刻攻防时,,Spire Codex community data,community-data+synthesis,100,medium,100,5833,52.5,,0,draw|conditional,
v0.107.1,stable,2026-09-07T12:01:05.113Z,SALVO,箭雨,Salvo,colorless,攻击,稀有,1,S,同版本社区数据给出的基础档位为 S。主要价值是12 点总伤害。,第一章或当前牌组缺少前置伤害时|需要保留组件等待爆发或防御窗口时,它不能改善当前牌组缺口，拿取只会降低核心牌抽取频率时,,Spire Codex community data,community-data+synthesis,100,medium,100,2733,58,,0,damage|retain,
